#JCAT	Name
# Updated 2025 Aug  5 0444:32
A00045	[Луна-4]
A03368	Спускаемая Капсула
A03371	Спускаемая Капсула
A03378	Спускаемая Капсула
A03400	Спускаемая Капсула
A03402	Спускаемая Капсула
A03411	Спускаемая Капсула
A03413	Спускаемая Капсула
A03422	Спускаемая Капсула
A03424	Спускаемая Капсула
A03451	Спускаемая Капсула
A03453	Спускаемая Капсула
A03455	Спускаемая Капсула
A03460	Спускаемая Капсула
A03471	Космос-1335 ЭСО
A03478	Спускаемая Капсула
A03492	Спускаемая Капсула
A03494	Спускаемая Капсула
A03498	Спускаемая Капсула
A03514	Спускаемая Капсула
A03520	Спускаемая Капсула
A03529	Спускаемая Капсула
A03537	Спускаемая Капсула
A03570	Спускаемая Капсула
A03580	Спускаемая Капсула
A03588	Спускаемая Капсула
A03590	Спускаемая Капсула
A03595	Спускаемая Капсула
A03598	Спускаемая Капсула
A03618	Спускаемая Капсула
A03620	Спускаемая Капсула
A03622	Спускаемая Капсула
A03625	Космос-1397 ЭСО
A03626	Космос-1397 ЭСО
A03631	Спускаемая Капсула
A03642	Спускаемая Капсула
A03665	Спускаемая Капсула
A03667	Космос-1335 ЭСО
A03668	Космос-1335 ЭСО
A03673	Спускаемая Капсула
A03676	Спускаемая Капсула
A03688	Космос-1443 ВА
A03694	Спускаемая Капсула
A03713	Спускаемая Капсула
A03718	Спускаемая Капсула
A03726	Спускаемая Капсула
A03730	Спускаемая Капсула
A03736	Спускаемая Капсула
A03749	Спускаемая Капсула
A03754	Спускаемая Капсула
A03761	Спускаемая Капсула
A03787	Спускаемая Капсула
A03797	Спускаемая Капсула
A03802	Спускаемая Капсула
A03833	Спускаемая Капсула
A03836	Спускаемая Капсула
A03843	Спускаемая Капсула
A03849	Спускаемая Капсула
A03860	Спускаемая Капсула
A03869	Спускаемая Капсула
A03883	Спускаемая Капсула
A03903	Спускаемая Капсула
A03935	Спускаемая Капсула
A03942	Спускаемая Капсула
A03971	Спускаемая Капсула
A03978	Спускаемая Капсула
A03983	Спускаемая Капсула
A03984	Космос-1465 ЭСО
A03985	Космос-1465 ЭСО
A03986	Космос-1465 ЭСО
A03987	Космос-1465 ЭСО
A03988	Космос-1465 ЭСО
A03989	Космос-1465 ЭСО
A03990	Космос-1465 ЭСО
A03991	Космос-1465 ЭСО
A03992	Космос-1465 ЭСО
A03993	Космос-1465 ЭСО
A03994	Космос-1465 ЭСО
A03995	Космос-1465 ЭСО
A03996	Космос-1465 ЭСО
A03997	Космос-1465 ЭСО
A03998	Космос-1465 ЭСО
A03999	Космос-1465 ЭСО
A04000	Космос-1465 ЭСО
