JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
L80526	1984-A47	Discovery (STS 41-D)	1984 Jun 26	1984 Jun 26	1984 Jun 26	1984 Jun 26 1243	-	STS	-	-	-	C	SS	F	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80530	1985-A26	Challenger (STS 51-F)	1985 Jul 12	1985 Jul 12	1985 Jul 12	1985 Jul 12 2030	-	STS	-	-	-	C	SS	F	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80532	2020-A22	Spaceship Two	2020 Dec 12	2020 Dec 12	2020 Dec 12	2020 Dec 21 1616	-	SS2	-	-	-	C	SS	F	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80543	1994-A08	Endeavour (STS-68)	1994 Aug 18	1994 Aug 18	1994 Aug 18	1994 Aug 18 1053:58	-	STS	-	-	-	C	SS	F	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80547	1993-A20	Columbia (STS-55)	1993 Mar 22	1993 Mar 22	1993 Mar 22	1993 Mar 22 1450:57	-	STS	-	-	-	C	SS	F	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80551	1993-A21	STS-51 RSLS Abort	1993 Aug 12	1993 Aug 12	1993 Aug 12	1993 Aug 12 1312:32	-	STS	-	-	-	C	SS	F	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80538	2020-A11	Unity VG-018	2020 May  1	2020 May  1	2020 May  1	2020 May  1	-	SS2	-	-	-	B	SS	S	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80539	2020-A14	Unity VG-019	2020 Jun 25	2020 Jun 25	2020 Jun 25	2020 Jun 25	-	SS2	-	-	-	B	SS	S	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80875	2023-A13	Unity 24	2023 Apr 26	2023 Apr 26	2023 Apr 26	2023 Apr 26	-	SS2	-	-	-	B	SS	S	-	-	-	-	-	-	-	-	-	0	0	0.00	-
L80998	2022-A20	New Shepard NS-23	2022 Sep 12	2023 Sep 12	2023 Sep 12	2023 Sep 12	-	New Shepard	-	-	-	B	SS	S	-	-	-	-	-	-	-	-	-	0	0	0.00	-
