JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
F00145	1961-F02	Discoverer 22	1961 Mar 30	1961 Mar 30	1961 Mar 30	1961 Mar 30	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00147	1961-F02	SRV 509	1961 Mar 30	1961 Mar 30	1961 Mar 30	1961 Mar 30	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00149	1961-F03	Mercury MA-3	1961 Apr 25	1961 Apr 25	1961 Apr 25	1961 Apr 25	-	Mercury MA		-	-	C	SS	U	-	-	-	-					-	0	0	0.00	-
F00152	1961-F04	NASA S-45A	1961 May 24	1961 May 24	1961 May 24	1961 May 24	-	ExplorerG		-	-	C	SCI	U	-	ION*	-	-					-	0	0	0.00	Ionosphere beacon
F00154	1961-F05	Discoverer 24	1961 Jun  8	1961 Jun  8	1961 Jun  8	1961 Jun  8	-	CORONA ARGON		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00156	1961-F05	SRV 541	1961 Jun  8	1961 Jun  8	1961 Jun  8	1961 Jun  8	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00158	1961-F06	NASA S-55	1961 Jun 30	1961 Jun 30	1961 Jun 30	1961 Jun 30	-	Explorer MME		-	-	C	SCI	U	-	MM*	-	-					-	0	0	0.00	Meteoroids
F00160	1961-F07	Discoverer 27	1961 Jul 21	1961 Jul 21	1961 Jul 21	1961 Jul 21	-	CORONA ARGON		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00162	1961-F07	SRV 524	1961 Jul 21	1961 Jul 21	1961 Jul 21	1961 Jul 21	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00164	1961-F08	Discoverer 28	1961 Aug  4	1961 Aug  4	1961 Aug  4	1961 Aug  4	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00166	1961-F08	SRV 512	1961 Aug  4	1961 Aug  4	1961 Aug  4	1961 Aug  4	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00168	1961-F09	Samos 3	1961 Sep  9	1961 Sep  9	1961 Sep  9	1961 Sep  9 1928	-	SAMOS E-2		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00170	1961-F10	Discoverer 33	1961 Oct 23	1961 Oct 23	1961 Oct 23	1961 Oct 23	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00172	1961-F10	SRV 513	1961 Oct 23	1961 Oct 23	1961 Oct 23	1961 Oct 23	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00174	1961-F11	Kosmos	1961 Oct 27	1961 Oct 27	1961 Oct 27	1961 Oct 27	-	DS Early		-	-	C	SCI	U	-	P?*	-	-					-	0	0	0.00	Radiation?
F00176	1961-F12	Mercury MS-1	1961 Nov  1	1961 Nov  1	1961 Nov  1	1961 Nov  1	-	Mercury Scout		-	-	C	SS	U	-	-	-	-					-	0	0	0.00	-
F00180	1961-F13	Samos 4	1961 Nov 22	1961 Nov 22	1961 Nov 22	1961 Nov 22	-	SAMOS E-5		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00182	1961-F14	[Kosmos-1]	1961 Dec 11	1961 Dec 11	1961 Dec 11	1961 Dec 11	-	Zenit-2 LKI		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00185	1961-F15	Kosmos	1961 Dec 21	1961 Dec 21	1961 Dec 21	1961 Dec 21	-	DS Early		-	-	C	SCI	U	-	P?*	-	-					-	0	0	0.00	Radiation?
F00187	1962-F01	Discoverer 37	1962 Jan 13	1962 Jan 13	1962 Jan 13	1962 Jan 13	-	CORONA Early		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00189	1962-F01	SRV 571	1962 Jan 13	1962 Jan 13	1962 Jan 13	1962 Jan 13	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00190	1962-F01	LPARL Aurora 1962a	1962 Jan 13	1962 Jan 13	1962 Jan 13	1962 Jan 13	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00192	1962-F02	SR 4	1962 Jan 24	1962 Jan 24	1962 Jan 24	1962 Jan 24	-	GRAB		-	-	D	SIG	U	-	SX	-	-					-	0	0	0.00	Solar X?
F00193	1962-F02	Lofti 2	1962 Jan 24	1962 Jan 24	1962 Jan 24	1962 Jan 24	-	Lofti		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00194	1962-F02	Secor	1962 Jan 24	1962 Jan 24	1962 Jan 24	1962 Jan 24	-	Secor I		-	-	D	GEOD	U	-	GEOD	-	-					-	0	0	0.00	Geodesy
F00195	1962-F02	Injun 2	1962 Jan 24	1962 Jan 24	1962 Jan 24	1962 Jan 24	-	Injun		-	-	C	SCI	U	-	P/AUR*	-	-					-	0	0	0.00	Particles and aurora
F00196	1962-F02	Surcal	1962 Jan 24	1962 Jan 24	1962 Jan 24	1962 Jan 24	-	Surcal		-	-	D	CAL	U	-	-	-	-					-	0	0	0.00	-
F00198	1962-F03	Blue Scout	1962 Apr 26	1962 Apr 26	1962 Apr 26	1962 Apr 26	-	GRAB		-	-	D	SIG	N	-	-	US	A/AC.105/INF.007					-	0	0	0.00	-
F00200	1962-F04	Thor-Ablestar	1962 May 10	1962 May 10	1962 May 10	1962 May 10	-	ANNA		-	-	D	NAV	U	-	GEOD	US	A/AC.105/INF.008					-	0	0	0.00	Geodesy
F00202	1962-F05	Blue Scout	1962 May 24	1962 May 24	1962 May 24	1962 May 24	-	P35		-	-	D	MET	U	-	-	US	A/AC.105/INF.010					-	0	0	0.00	-
F00206	1962-F06	[Kosmos-6]	1962 Jun  1	1962 Jun  1	1962 Jun  1	1962 Jun  1	-	Zenit-2 LKI		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00209	1962-F07	Atlas Agena B	1962 Jul 22	1962 Jul 22	1962 Jul 22	1962 Jul 22	-	Mariner		-	-	C	PLAN	U	-	PL	US	A/AC.105/INF.015					-	0	0	0.00	Venus probe
F00211	1962-F08	Kosmos	1962 Oct 25	1962 Oct 25	1962 Oct 25	1962 Oct 25	-	MS		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00213	1962-F09	Atlas Agena B	1962 Dec 17	1962 Dec 17	1962 Dec 17	1962 Dec 17	-	Midas ETS-III		-	-	D	EW	U	-	-	US	A/AC.105/INF.027					-	0	0	0.00	-
F00214	1962-F09	TRS 3	1962 Dec 17	1962 Dec 17	1962 Dec 17	1962 Dec 17	-	TRS I		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00215	1962-F09	TRS 4	1962 Dec 17	1962 Dec 17	1962 Dec 17	1962 Dec 17	-	TRS I		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00216	1962-F09	GRD Package/HSRP-9	1962 Dec 17	1962 Dec 17	1962 Dec 17	1962 Dec 17	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00220	1963-F01	[Luna-4]	1963 Feb  3	1963 Feb  3	1963 Feb  3	1963 Feb  3	-	E-6		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar lander
F00221	1963-F01	ALS	1963 Feb  3	1963 Feb  3	1963 Feb  3	1963 Feb  3	-	E-6SA		-	-	C	PLAN/RV	U	-	-	-	-					-	0	0	0.00	-
F00225	1963-F02	Thor Agena	1963 Feb 28	1963 Feb 28	1963 Feb 28	1963 Feb 28	-	CORONA M		-	-	D	IMG	U	-	-	US	A/AC.105/INF.032					-	0	0	0.00	-
F00227	1963-F02	SRV 610	1963 Feb 28	1963 Feb 28	1963 Feb 28	1963 Feb 28	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00228	1963-F02	LPARL Aurora 1963a	1963 Feb 28	1963 Feb 28	1963 Feb 28	1963 Feb 28	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00230	1963-F03	Thor Agena	1963 Mar 18	1963 Mar 18	1963 Mar 18	1963 Mar 18	-	LANYARD		-	-	D	IMG	U	-	-	US	A/AC.105/INF.035					-	0	0	0.00	-
F00232	1963-F03	SRV 612	1963 Mar 18	1963 Mar 18	1963 Mar 18	1963 Mar 18	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00234	1963-F03	P-11?	1963 Mar 18	1963 Mar 18	1963 Mar 18	1963 Mar 18	-	EHH A		-	-	C	SCI	U	-	P/F	-	-					-	0	0	0.00	Radiation belt study
F00238	1963-F04	Scout	1963 Apr  5	1963 Apr  5	1963 Apr  5	1963 Apr  5	-	Transit 5		-	-	D	NAV	U	-	-	US	A/AC.105/INF.037					-	0	0	0.00	-
F00240	1963-F05	Kosmos	1963 Apr  6	1963 Apr  6	1963 Apr  6	1963 Apr  6	-	DS-P1		-	-	D	CAL	U	-	-	-	-					-	0	0	0.00	-
F00242	1963-F06	Blue Scout	1963 Apr 26	1963 Apr 26	1963 Apr 26	1963 Apr 26	-	P35		-	-	D	MET	U	-	-	US	A/AC.105/INF.038					-	0	0	0.00	-
F00246	1963-F07	Thor Agena	1963 Apr 26	1963 Apr 26	1963 Apr 26	1963 Apr 26	-	CORONA ARGON		-	-	D	IMG	U	-	-	US	A/AC.105/INF.038					-	0	0	0.00	-
F00248	1963-F07	SRV 605	1963 Apr 26	1963 Apr 26	1963 Apr 26	1963 Apr 26	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00250	1963-F08	Kosmos	1963 Jun  1	1963 Jun  1	1963 Jun  1	1963 Jun  1	-	DS-MT		-	-	C	SCI/AST	U	-	UVA	-	-					-	0	0	0.00	UV background
F00252	1963-F09	Atlas Agena	1963 Jun 12	1963 Jun 13	1963 Jun 13	1963 Jun 13	-	Midas ETS-III		-	-	D	EW	U	-	-	US	A/AC.105/INF.042					-	0	0	0.00	-
F00253	1963-F09	TRS 7	1963 Jun 12	1963 Jun 13	1963 Jun 13	1963 Jun 13	-	TRS I		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00254	1963-F09	TRS 8	1963 Jun 12	1963 Jun 13	1963 Jun 13	1963 Jun 13	-	TRS I		-	-	D	TECH	U	-	-	-	-					-	0	0	0.00	-
F00256	1963-E01	[Kosmos-19]	1963 Jul 10	1963 Jul 10	1963 Jul 10	1963 Jul 10	-	Zenit-2 LKI		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00259	1963-F11	Kosmos	1963 Aug 22	1963 Aug 22	1963 Aug 22	1963 Aug 22	-	DS-A1		-	-	C	SCI	U	-	P/ION	-	-					-	0	0	0.00	Radiation/ionosphere
F00261	1963-F12	Blue Scout	1963 Sep 27	1963 Sep 27	1963 Sep 27	1963 Sep 27	-	P35		-	-	D	MET	U	-	-	US	A/AC.105/INF.052					-	0	0	0.00	-
F00265	1963-F13	Kosmos	1963 Oct 24	1963 Oct 24	1963 Oct 24	1963 Oct 24	-	DS-A1		-	-	C	SCI	U	-	P/ION	-	-					-	0	0	0.00	Radiation/ionosphere
F00267	1963-F14	Thor Agena	1963 Nov  9	1963 Nov  9	1963 Nov  9	1963 Nov  9	-	CORONA M		-	-	D	IMG	U	-	-	US	A/AC.105/INF.053					-	0	0	0.00	-
F00269	1963-F14	SRV 632	1963 Nov  9	1963 Nov  9	1963 Nov  9	1963 Nov  9	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00270	1963-F14	RM-5	1963 Nov  9	1963 Nov  9	1963 Nov  9	1963 Nov  9	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00272	1963-F15	[Kosmos-23]	1963 Nov 28	1963 Nov 28	1963 Nov 28	1963 Nov 28	-	Zenit-2 A		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00277	1964-F01	[Zond]	1964 Feb 19	1964 Feb 19	1964 Feb 19	1964 Feb 19	-	3MV		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Venus probe
F00278	1964-F01	Spuskaemiy apparat	1964 Feb 19	1964 Feb 19	1964 Feb 19	1964 Feb 19	-	MV SA		-	-	C	PLAN/RV	U	-	-	-	-					-	0	0	0.00	-
F00280	1964-F02	Delta	1964 Mar 19	1964 Mar 19	1964 Mar 19	1964 Mar 19	-	Explorer BE		-	-	C	SCI	U	-	ION*	US	A/AC.105/INF.068					-	0	0	0.00	Ionospheric beacon
F00286	1964-F03	[Luna-5]	1964 Mar 21	1964 Mar 21	1964 Mar 21	1964 Mar 21	-	E-6		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar lander
F00287	1964-F03	ALS	1964 Mar 21	1964 Mar 21	1964 Mar 21	1964 Mar 21	-	E-6SA		-	-	C	PLAN/RV	U	-	-	-	-					-	0	0	0.00	-
F00291	1964-F04	Thor Agena	1964 Mar 24	1964 Mar 24	1964 Mar 24	1964 Mar 24	-	CORONA J		-	-	D	IMG	U	-	-	US	A/AC.105/INF.068					-	0	0	0.00	-
F00293	1964-F04	SRV 631	1964 Mar 24	1964 Mar 24	1964 Mar 24	1964 Mar 24	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00295	1964-F04	SRV 630	1964 Mar 24	1964 Mar 24	1964 Mar 24	1964 Mar 24	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00297	1964-F04	LPARL Aurora 1964	1964 Mar 24	1964 Mar 24	1964 Mar 24	1964 Mar 24	-	ARPL		-	-	D	TECH	N	-	-	-	-					-	0	0	0.00	-
F00301	1964-F05	[Luna-5]	1964 Apr 20	1964 Apr 20	1964 Apr 20	1964 Apr 20	-	E-6		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar lander
F00302	1964-F05	ALS	1964 Apr 20	1964 Apr 20	1964 Apr 20	1964 Apr 20	-	E-6SA		-	-	C	PLAN/RV	U	-	-	-	-					-	0	0	0.00	-
F00306	1964-U03	Transit VBN-3	1964 Apr 21	1964 Apr 21	1964 Apr 21	1964 Apr 21	-	Transit 5		-	-	D	NAV	U	-	-	US	A/AC.105/INF.070					-	0	0	0.00	-
F00307	1964-U03	Transit VE-2	1964 Apr 21	1964 Apr 21	1964 Apr 21	1964 Apr 21	-	Transit 5E		-	-	C	SCI	U	-	P?	-	-					-	0	0	0.00	Radiation study?
F00311	1964-F07	Molniya-1 No 2	1964 Jun  4	1964 Jun  4	1964 Jun  4	1964 Jun  4	-	Molniya-1		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00313	1964-F08	ESRS	1964 Jun 25	1964 Jun 25	1964 Jun 25	1964 Jun 25	-	AFCRL		-	-	C	SCI	U	-	P/MM	US	A/AC.105/INF.077					-	0	0	0.00	Radiation, micrometeors
F00315	1964-F09	AC-3 Instrumentation Ring	1964 Jun 30	1964 Jun 30	1964 Jun 30	1964 Jun 30	-	AC		-	-	C	TECH	U	-	-	US	A/AC.105/INF.077					-	0	0	0.00	-
F00316	1964-F10	Titan IIIA	1964 Sep  1	1964 Sep  1	1964 Sep  1	1964 Sep  1	-	Transtage PL		-	-	D	TECH	F	-	-	US	A/AC.105/INF.082					-	0	0	0.00	-
F00317	1964-F10	Transtage 2	1964 Sep  1	1964 Sep  1	1964 Sep  1	1964 Sep  1	-	Transtage		-	-	D	TECH	F	-	-	-	-					-	0	0	0.00	-
F00319	1964-F11	Atlas Agena	1964 Oct  7	1964 Oct  8	1964 Oct  8	1964 Oct  8	-	AFP-206		-	-	D	IMG	U	-	-	US	A/AC.105/INF.085					-	0	0	0.00	-
F00321	1964-F11	SRV	1964 Oct  7	1964 Oct  8	1964 Oct  8	1964 Oct  8	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00322	1964-F11	P-11	1964 Oct  7	1964 Oct  8	1964 Oct  8	1964 Oct  8	-	EHH A		-	-	D	SIG	U	-	-	-	-					-	0	0	0.00	-
F00324	1964-F12	Kosmos	1964 Oct 23	1964 Oct 23	1964 Oct 23	1964 Oct 23	-	Strela-1		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00325	1964-F12	Kosmos	1964 Oct 23	1964 Oct 23	1964 Oct 23	1964 Oct 23	-	Strela-1		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00326	1964-F12	Kosmos	1964 Oct 23	1964 Oct 23	1964 Oct 23	1964 Oct 23	-	Strela-1		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00328	1964-F13	Kosmos	1964 Dec  1	1964 Dec  1	1964 Dec  1	1964 Dec  1	-	DS Early		-	-	C	SCI	U	-	ION*	-	-					-	0	0	0.00	Ionospheric beacon
F00330	1965-F01	Atlas	1965 Jan 21	1965 Jan 21	1965 Jan 21	1965 Jan 21	-	OV1 X		-	-	C	SCI	U	-	P/F/MM	US	A/AC.105/INF.098					-	0	0	0.00	Radiation studies
F00332	1965-F02	Kosmos	1965 Feb 12	1965 Feb 12	1965 Feb 12	1965 Feb 12	-	DS-P1-Yu A		-	-	D	CAL	U	-	-	-	-					-	0	0	0.00	-
F00334	1965-F03	Kosmos	1965 Feb 20	1965 Feb 20	1965 Feb 20	1965 Feb 20	-	DS-A1		-	-	D	EW	U	-	P/ION*	-	-					-	0	0	0.00	Radiation/ionosphere
F00335	1965-F04	Centaur AC-5	1965 Mar  2	1965 Mar  2	1965 Mar  2	1965 Mar  2	-	AC		-	-	C	TECH	U	-	-	-	-					-	0	0	0.00	-
F00336	1965-F04	Atlas Centaur	1965 Mar  2	1965 Mar  2	1965 Mar  2	1965 Mar  2	-	Surveyor A-21		-	-	C	TECH	U	-	-	US	A/AC.105/INF.101					-	0	0	0.00	-
F00340	1965-F05	[Luna-5]	1965 Apr 10	1965 Apr 10	1965 Apr 10	1965 Apr 10	-	E-6		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar lander
F00341	1965-F05	ALS	1965 Apr 10	1965 Apr 10	1965 Apr 10	1965 Apr 10	-	E-6SA		-	-	C	PLAN/RV	U	-	-	-	-					-	0	0	0.00	-
F00346	1965-F06	OV1-3	1965 May 28	1965 May 28	1965 May 28	1965 May 28	-	OV1 X		-	-	C	SCI	U	-	P/ION	US	A/AC.105/INF.114					-	0	0	0.00	Radiation effects
F00348	1965-F07	Atlas Agena	1965 Jul 12	1965 Jul 12	1965 Jul 12	1965 Jul 12	-	AFP-206		-	-	D	IMG	U	-	-	US	A/AC.105/INF.111					-	0	0	0.00	-
F00350	1965-F07	SRV	1965 Jul 12	1965 Jul 12	1965 Jul 12	1965 Jul 12	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00352	1965-F08	[Kosmos]	1965 Jul 13	1965 Jul 13	1965 Jul 13	1965 Jul 13	-	Zenit-2 A		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00355	1965-F09	Delta	1965 Aug 25	1965 Aug 25	1965 Aug 25	1965 Aug 25	-	OSO		-	-	C	AST	U	-	SOL/GRA*	US	A/AC.105/INF.114					-	0	0	0.00	Solar observatory
F00358	1965-F10	Thor Agena	1965 Sep  2	1965 Sep  2	1965 Sep  2	1965 Sep  2	-	CORONA E		-	-	C	SCI	U	-	ION/ATM*	US	A/AC.105/INF.120					-	0	0	0.00	Propagation/atmosphere
F00359	1965-F10	SHIP	1965 Sep  2	1965 Sep  2	1965 Sep  2	1965 Sep  2	-	SHIP		-	-	D	TECH	N	-	ION	-	-					-	0	0	0.00	Ionosphere propagation
F00361	1965-F11	Atlas Agena	1965 Oct 25	1965 Oct 25	1965 Oct 25	1965 Oct 25	-	TDA		-	-	C	SS	U	-	-	US	A/AC.105/INF.121					-	0	0	0.00	-
F00363	1965-F12	Kosmos	1965 Dec 28	1965 Dec 28	1965 Dec 28	1965 Dec 28	-	DS-K-8		-	-	D	SIG	U	-	-	-	-					-	0	0	0.00	-
F00365	1966-F01	Thor Altair	1966 Jan  7	1966 Jan  8	1966 Jan  8	1966 Jan  8	-	DAPP2		-	-	D	MET	U	-	-	US	A/AC.105/INF.131					-	0	0	0.00	-
F00367	1966-F02	Kosmos	1966 Feb 21	1966 Feb 21	1966 Feb 21	1966 Feb 21	-	DS-K-8		-	-	D	SIG	U	-	-	-	-					-	0	0	0.00	-
F00369	1966-F03	[Proton-3]	1966 Mar 24	1966 Mar 24	1966 Mar 24	1966 Mar 24	-	N-4		-	-	C	SCI	U	-	P/F*	-	-					-	0	0	0.00	Cosmic rays
F00375	1966-F04	Molniya-1 No 5	1966 Mar 27	1966 Mar 27	1966 Mar 27	1966 Mar 27	-	Molniya-1		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00377	1966-F05	Thor Agena	1966 May  3	1966 May  3	1966 May  3	1966 May  3	-	CORONA J		-	-	D	IMG	U	-	-	US	A/AC.105/INF.139					-	0	0	0.00	-
F00379	1966-F05	SRV 707	1966 May  3	1966 May  3	1966 May  3	1966 May  3	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00381	1966-F05	SRV 708	1966 May  3	1966 May  3	1966 May  3	1966 May  3	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00384	1966-F06	[Kosmos]	1966 May 17	1966 May 17	1966 May 17	1966 May 17	-	Zenit-4		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00387	1966-F07	Atlas Agena	1966 May 17	1966 May 17	1966 May 17	1966 May 17	-	TDA		-	-	C	SS	U	-	-	US	A/AC.105/INF.140					-	0	0	0.00	-
F00389	1966-063	OV1-7	1966 Jul 14	1966 Jul 14	1966 Jul 14	1966 Jul 14	-	OV1 X		-	-	C	SCI	U	-	ATM/SX	-	-					-	0	0	0.00	Airglow,oxygen,Solar X
F00390	1966-F08	Transtage 12	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	Transtage		-	-	D	TECH	U	-	-	[US]	-					-	0	0	0.00	-
F00391	1966-F08	Titan IIIC	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	US	A/AC.105/INF.147					-	0	0	0.00	-
F00392	1966-F08	IDCSP	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00393	1966-F08	IDCSP	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00394	1966-F08	IDCSP	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00395	1966-F08	IDCSP	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00396	1966-F08	IDCSP	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00397	1966-F08	IDCSP	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00398	1966-F08	IDCSP	1966 Aug 26	1966 Aug 26	1966 Aug 26	1966 Aug 26	-	IDCSP		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00401	1966-F09	[Kosmos]	1966 Sep 16	1966 Sep 16	1966 Sep 16	1966 Sep 16	-	Zenit-2 A		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00404	1966-F10	L-4S-1	1966 Sep 26	1966 Sep 26	1966 Sep 26	1966 Sep 26	-	L-4S		-	-	C	TECH	U	-	-	-	-					-	0	0	0.00	-
F00406	1966-F11	Kosmos	1966 Nov 16	1966 Nov 16	1966 Nov 16	1966 Nov 16	-	Strela-2		-	-	D	COM	U	-	-	-	-					-	0	0	0.00	-
F00410	1966-F12	[Soyuz]	1966 Dec 14	1966 Dec 14	1966 Dec 14	1966 Dec 14	-	7K-OK		-	-	C	SS	U	-	-	-	-					-	0	0	0.00	-
F00412	1966-F13	L-4S-2	1966 Dec 20	1966 Dec 20	1966 Dec 20	1966 Dec 20	-	L-4S		-	-	C	TECH	U	-	-	-	-					-	0	0	0.00	-
F00414	1967-F01	Scout	1967 Jan 31	1967 Jan 31	1967 Jan 31	1967 Jan 31	-	OV3		-	-	C	SCI	U	-	ATM	US	A/AC.105/INF.169					-	0	0	0.00	Atmospheric composition
F00418	1967-F02	[Kosmos]	1967 Mar 22	1967 Mar 22	1967 Mar 22	1967 Mar 22	-	OGCh		-	-	D	WEAPON	U	-	-	-	-					-	0	0	0.00	-
F00420	1967-F03	L-4S-3	1967 Apr 13	1967 Apr 13	1967 Apr 13	1967 Apr 13	-	L-4S		-	-	C	TECH	U	-	-	-	-					-	0	0	0.00	-
F00422	1967-F04	Titan IIIB	1967 Apr 26	1967 Apr 26	1967 Apr 26	1967 Apr 26	-	KH8A		-	-	D	IMG	U	-	-	US	A/AC.105/INF.170					-	0	0	0.00	-
F00424	1967-F04	SRV-1	1967 Apr 26	1967 Apr 26	1967 Apr 26	1967 Apr 26	-	SRV		-	-	D	RV	U	-	-	-	-					-	0	0	0.00	-
F00428	1967-F05	Scout	1967 May 30	1967 May 30	1967 May 30	1967 May 30	-	ESRO		-	-	C	SCI	U	-	P/SX*	US	A/AC.105/INF.175					-	0	0	0.00	Radiation studies; first European mission
F00430	1967-F06	[Kosmos]	1967 Jun 20	1967 Jun 20	1967 Jun 20	1967 Jun 20	-	Zenit-4		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00433	1967-F07	Kosmos	1967 Jun 26	1967 Jun 26	1967 Jun 26	1967 Jun 26	-	Tselina-O		-	-	D	SIG	U	-	-	-	-					-	0	0	0.00	-
F00435	1967-F08	[Kosmos]	1967 Jul 21	1967 Jul 21	1967 Jul 21	1967 Jul 21	-	Zenit-4		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00438	1967-072	OV1-11	1967 Jul 27	1967 Jul 27	1967 Jul 27	1967 Jul 27	-	OV1 F		-	-	C	SCI	U	-	-	-	-					-	0	0	0.00	-
F00440	1967-F09	[Kosmos]	1967 Sep  1	1967 Sep  1	1967 Sep  1	1967 Sep  1	-	Zenit-2 B		-	-	D	IMG	U	-	-	-	-					-	0	0	0.00	-
F00443	1967-F10	Kosmos	1967 Sep 27	1967 Sep 27	1967 Sep 27	1967 Sep 27	-	Tsiklon A1		-	-	D	NAV	U	-	-	-	-					-	0	0	0.00	-
F00448	1967-F11	[Zond-4]	1967 Sep 27	1967 Sep 27	1967 Sep 27	1967 Sep 27	-	L-1		-	-	C	SS	U	-	PL	-	-					-	0	0	0.00	Lunar spaceship test
F00453	1967-F12	[Zond-4]	1967 Nov 22	1967 Nov 22	1967 Nov 22	1967 Nov 22	-	L-1		-	-	C	SS	U	-	PL	-	-					-	0	0	0.00	Lunar spaceship test
F00457	1968-F01	[Luna]	1968 Feb  7	1968 Feb  7	1968 Feb  7	1968 Feb  7	-	E-6LS		-	-	C	PLAN	U	-	PL	-	-					-	0	0	0.00	Lunar orbiter
F00461	1968-F02	Kosmos	1968 Mar  6	1968 Mar  6	1968 Mar  6	1968 Mar  6	-	DS-U1-Ya		-	-	C	SCI	U	-	P/F	-	-					-	0	0	0.00	Radiation studies
