JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
F01709	2024-F05	CASAA-Sat	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	LAM		-	-	A	TECH	N	-	-	[F]	-					-	0	0	0.00	-
F01710	2024-F05	Yixian-A	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Zhongshan		-	-	A	TECH	N	-	-	[CN]	-					-	0	0	0.00	-
F01711	2024-F05	Yinglong-1	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Yinglong		-	-	B	MET	N	-	-	[CN]	-					-	0	0	0.00	-
F01712	2024-F05	Yangwang-2	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Origin		-	-	B	AST	N	-	-	[CN]	-					-	0	0	0.00	-
F01713	2024-F05	Yunyao-1 xx	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Yunyao		-	-	B	MET	N	-	-	[CN]	-					-	0	0	0.00	-
F01714	2024-F05	Yunyao-1 xx	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Yunyao		-	-	B	MET	N	-	-	[CN]	-					-	0	0	0.00	-
F01715	2024-F05	Yunyao-1 xx	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Yunyao		-	-	B	MET	N	-	-	[CN]	-					-	0	0	0.00	-
F01716	2024-F05	Yunyao-1 xx	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Yunyao		-	-	B	MET	N	-	-	[CN]	-					-	0	0	0.00	-
F01717	2024-F05	Yunyao-1 xx	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Yunyao		-	-	B	MET	N	-	-	[CN]	-					-	0	0	0.00	-
F01718	2024-F05	Yunyao-1 xx	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	Yunyao		-	-	B	MET	N	-	-	[CN]	-					-	0	0	0.00	-
F01719	2024-F05	DEAR RV	2024 Dec 27	2024 Dec 27	2024 Dec 27	2024 Dec 27	-	DEAR RV		-	D	B	MGRAV	N	-	-	[CN]	-					-	0	0	0.00	-
F01721	2025-F01	Starship FT-7	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starship FT		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01722	2025-F01	Starlink Simulator 1	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01723	2025-F01	Starlink Simulator 2	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01724	2025-F01	Starlink Simulator 3	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01725	2025-F01	Starlink Simulator 4	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01726	2025-F01	Starlink Simulator 5	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01727	2025-F01	Starlink Simulator 6	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01728	2025-F01	Starlink Simulator 7	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01729	2025-F01	Starlink Simulator 8	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01730	2025-F01	Starlink Simulator 9	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01731	2025-F01	Starlink Simulator 10	2025 Jan 16	2025 Jan 16	2025 Jan 16	2025 Jan 16 2249?	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01733	2025-E01	Unk Payload	2025 Mar  1	2025 Mar  1	2025 Mar  1	2025 Mar  1 1001?	-	Unk CN		-	-	B	TECH	N	-	-	[CN]	-					-	0	0	0.00	-
F01734	2025-F03	Starship FT-8	2025 Mar  6	2025 Mar  6	2025 Mar  6	2025 Mar  6 2340	-	Starship FT		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01735	2025-F03	Starlink Simulator 11	2025 Mar  6	2025 Mar  6	2025 Mar  6	2025 Mar  6 2340	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01736	2025-F03	Starlink Simulator 12	2025 Mar  6	2025 Mar  6	2025 Mar  6	2025 Mar  6 2340	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01737	2025-F03	Starlink Simulator 13	2025 Mar  6	2025 Mar  6	2025 Mar  6	2025 Mar  6 2340	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01738	2025-F03	Starlink Simulator 14	2025 Mar  6	2025 Mar  6	2025 Mar  6	2025 Mar  6 2340	-	Starlink V3Sim		-	-	B	TECH	N	-	-	[US]	-					-	0	0	0.00	-
F01740	2025-F04	Spectrum Flight 1	2025 Mar 30	2025 Mar 30	2025 Mar 30	2025 Mar 30 1030:35	-	ISAR Spectrum		-	-	B	TECH	F	-	-	[D]	-					-	0	0	0.00	-
F01742	2025-F05	EOS-09	2025 May 18	2025 May 18	2025 May 18	2025 May 18 0045?	-	RISAT		-	M	C	IMG-R	N	-	-	[IN]	-					-	0	0	0.00	-
F01743	2021-F01	Xingshidai-13	2021 Feb  1	2021 Feb  1	2021 Feb  1	2021 Feb  1 0815?	-	Xingshidai		-	-	B	IMG	N	-	-	[CN]	-					-	0	0	0.00	-
F01744	2021-F01	Xingshidai-14	2021 Feb  1	2021 Feb  1	2021 Feb  1	2021 Feb  1 0815?	-	Xingshidai		-	-	B	IMG	N	-	-	[CN]	-					-	0	0	0.00	-
F01747	2025-F06	Eris Flight 1	2025 Jul 29	2025 Jul 29	2025 Jul 29	2025 Jul 29 2236	-	Gilmour		-	-	B	TECH	N	-	-	[AU]	-					-	0	0	0.00	-
F01749	2025-F07	Hulianwang Jishu Shiyan	2025 Aug 15	2025 Aug 15	2025 Aug 15	2025 Aug 15 0130?	-	RSW		-	-	B	COM	N	-	-	[CN]	-					-	0	0	0.00	-
F01750	2025-F07	Hulianwang Jishu Shiyan	2025 Aug 15	2025 Aug 15	2025 Aug 15	2025 Aug 15 0130?	-	RSW		-	-	B	COM	N	-	-	[CN]	-					-	0	0	0.00	-
F01751	2025-F07	Hulianwang Jishu Shiyan	2025 Aug 15	2025 Aug 15	2025 Aug 15	2025 Aug 15 0130?	-	RSW		-	-	B	COM	N	-	-	[CN]	-					-	0	0	0.00	-
F01752	2025-F07	Hulianwang Jishu Shiyan	2025 Aug 15	2025 Aug 15	2025 Aug 15	2025 Aug 15 0130?	-	RSW		-	-	B	COM	N	-	-	[CN]	-					-	0	0	0.00	-
F01754	2025-F08	Zoljanah test payload	2025 Sep 18	2025 Sep 18	2025 Sep 18	2025 Sep 18 1105?	-	IRGC		-	-	D	TECH	N	-	-	[IR]	-					-	0	0	0.00	-
F01756	2025-U05	Jilin-1 GaoFen 04C	2025 Nov 10	2025 Nov 10	2025 Nov 10	2025 Nov 10 0503?	-	Jilin-1 GF	1	P	-	B	IMG	N	-	-	[CN]	-					-	0	0	0.00	-
F01757	2025-U05	Jilin-1 Pingtai A0204	2025 Nov 10	2025 Nov 10	2025 Nov 10	2025 Nov 10 0503?	-	Jilin-1 PT	1	P	-	B	IMG	N	-	-	[CN]	-					-	0	0	0.00	-
F01758	2025-U05	Zhongbei Daxue 1	2025 Nov 10	2025 Nov 10	2025 Nov 10	2025 Nov 10 0503?	-	NUC		-	-	A	TECH	N	-	-	[CN]	-					-	0	0	0.00	-
F01760	2025-F09	FloripaSat-2a	2025 Dec 23	2025 Dec 23	2025 Dec 23	2025 Dec 23 0114?	-	UFSC		-	-	A	TECH	N	-	-	[BR]	-					-	0	0	0.00	-
F01761	2025-F09	Floripasat-2b	2025 Dec 23	2025 Dec 23	2025 Dec 23	2025 Dec 23 0114?	-	UFSC		-	-	A	TECH	N	-	-	[BR]	-					-	0	0	0.00	-
F01762	2025-F09	Solaras-S2	2025 Dec 23	2025 Dec 23	2025 Dec 23	2025 Dec 23 0114?	-	Grahaa		-	-	B	TECH	N	-	-	[IN]	-					-	0	0	0.00	-
F01763	2025-F09	Pion-BR2	2025 Dec 23	2025 Dec 23	2025 Dec 23	2025 Dec 23 0114?	-	Pion Labs		-	-	B	TECH	N	-	-	[BR]	-					-	0	0	0.00	-
F01764	2025-F09	Jussara-K	2025 Dec 23	2025 Dec 23	2025 Dec 23	2025 Dec 23 0114?	-	UFMA		-	-	A	TECH	N	-	-	[BR]	-					-	0	0	0.00	-
