#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
# Updated 2025 Aug  5 0444:32
R05933	1962-S152	Beanstalk 1 (Flight 102)	1962 May 31 	1962 May 31	1962 May 31	1962 May 31	-	ERCS 279	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R05646	1962-S51	Reentry 1	1962 Mar  1 	1962 Mar  1	1962 Mar  1	1962 Mar  1	-	Scout Reentry	-	-	-	C	RV	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R06186	1962-S244	X-15-3 Flight 3-7-14	1962 Jul 17 	1962 Jul 17	1962 Jul 17	1962 Jul 17 1741:31	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R06189	1962-S245	Big Shot 2	1962 Jul 18 	1962 Jul 18	1962 Jul 18	1962 Jul 18	-	Echo Big Shot	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R06223	1962-S257	Beanstalk 2	1962 Jul 24 	1962 Jul 24	1962 Jul 24	1962 Jul 24	-	ERCS 279	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R06753	1962-S480	Saturn SA-3	1962 Nov 16 	1962 Nov 16	1962 Nov 16	1962 Nov 16	-	Saturn Block I	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R06754	1962-S480	Saturn S-V	1962 Nov 16 	1962 Nov 16	1962 Nov 16	1962 Nov 16	-	Saturn S-V	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R06766	1962-S485	Beanstalk 3	1962 Nov 21 	1962 Nov 21	1962 Nov 21	1962 Nov 21	-	ERCS 279	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R06963	1962-S573	Ion Engine Test 21-1	1962 Dec 19 	1962 Dec 19	1962 Dec 19	1962 Dec 19	-	Blue Scout Ion	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07035	1963-S08	Trailblazer IId	1963 Mar 23 	1963	1963	1963	-	TB	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07074	1963-S14	X-15-3 Flight 3-14-24	1963 Jan 17 	1963 Jan 17	1963 Jan 17	1963 Jan 17 1909:21	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07108	1963-S32	Beanstalk 4	1963 Feb  2 	1963 Feb  2	1963 Feb  2	1963 Feb  2	-	ERCS 279	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07256	1963-S96	Beanstalk 5	1963 Mar 14 	1963 Mar 14	1963 Mar 14	1963 Mar 14	-	ERCS 279	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07317	1963-S121	Saturn SA-4	1963 Mar 28 	1963 Mar 28	1963 Mar 28	1963 Mar 28	-	Saturn Block I	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07318	1963-S121	Saturn S-V	1963 Mar 28 	1963 Mar 28	1963 Mar 28	1963 Mar 28	-	Saturn S-V	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07548	1963-S207	Beanstalk 6	1963 May 17 	1963 May 17	1963 May 17	1963 May 17	-	ERCS 279	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07593	1963-S226	RFD-1	1963 May 22 	1963 May 22	1963 May 22	1963 May 22	-	RFD	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07630	1963-S241	RAM B-2	1963 May 28 	1963 May 28	1963 May 28	1963 May 28	-	Scout RAM	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07801	1963-S304	X-15-3 Flight 3-20-31	1963 Jun 27 	1963 Jun 27	1963 Jun 27	1963 Jun 27 1806:31	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R07917	1963-S344	X-15-3 Flight 3-21-32	1963 Jul 19 	1963 Jul 19	1963 Jul 19	1963 Jul 19 1820:05	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R08068	1963-S401	X-15-3 Flight 3-22-36	1963 Aug 22 	1963 Aug 22	1963 Aug 22	1963 Aug 22 1817:06	-	X-15	-	-	-	C	SS	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R08603	1963-S605	SAC probe (Beanstalk OT1)	1963 Dec 17 	1963 Dec 17	1963 Dec 17	1963 Dec 17	-	ERCS 279	-	-	-	D	COM	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R09060	1964-S146	OAR 22-2	1964 Mar 13 	1964 Mar 13	1964 Mar 13	1964 Mar 13	-	OAR Probe	-	-	-	D	SCI	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R09448	1964-S279	Blue Streak F-1	1964 Jun  4 	1964 Jun  4	1964 Jun  4	1964 Jun  4 2358	-	ELDO P	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R09757	1964-S371	SERT I	1964 Jul 20 	1964 Jul 20	1964 Jul 20	1964 Jul 20	-	SERT	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R10004	1964-S448	Ion Engine Test 21-2	1964 Aug 29 	1964 Aug 29	1964 Aug 29	1964 Aug 29	-	Blue Scout Ion	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R10226	1964-S513	RFD-2	1964 Oct  9 	1964 Oct  9	1964 Oct  9	1964 Oct  9	-	RFD	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R10285	1964-S532	Blue Streak F-2	1964 Oct 19 	1964 Oct 19	1964 Oct 19	1964 Oct 19 2309	-	ELDO P	-	-	-	C	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R10748	1964-S696	Ion Engine Test 21-3	1964 Dec 22 	1964 Dec 22	1964 Dec 22	1964 Dec 22	-	Blue Scout Ion	-	-	-	D	TECH	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
R10942	1965-S54	AFCRL-309 (OAR 22-3)	1965 Jan 28 	1965 Jan 28	1965 Jan 28	1965 Jan 28	-	OAR Probe	-	-	-	D	SCI	S	-	-	-	-	-	-	-	-	-	       0	       0	  0.00 	-
