#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
L00018	NSO	1943-A12	1943-A12	R1          	V-2	A-4 payload	1943 Jul  9	-	1943 Jul  9	Earth	1943 Jul  9	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Jul  9	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00019	NSO	1943-A13	1943-A13	R1          	V-2	Heidelager Test	1943 Nov  5	-	1943 Nov  5	Earth	1943 Nov  5	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Nov  5	   -6300	?	       1	?	  0.00 	 	ATM	U	-
L00020	NSO	1943-A14	1943-A14	R1          	V-2	A-4 payload	1943 Nov 25	-	1943 Nov 25	Earth	1943 Nov 25	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Nov 25	   -6300	?	      20	?	  0.00 	 	ATM	U	-
L00021	NSO	1943-A15	1943-A15	R1          	V-2	A-4 payload	1943 Dec  5	-	1943 Dec  5	Earth	1943 Dec  5	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1943 Dec  5	   -6300	?	      20	?	  0.00 	 	ATM	U	-
L00022	NSO	1944-A01	1944-A01	R1          	V-2	17003	1944 Jan 27	-	1944 Jan 27	Earth	1944 Jan 27	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Jan 27	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00023	NSO	1944-A02	1944-A02	R1          	V-2	A-4 payload	1944 Jan 29	-	1944 Jan 29	Earth	1944 Jan 29	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Jan 29	   -6300	?	       0	 	  0.00 	 	ATM	U	-
L00024	NSO	1944-A03	1944-A03	R1          	Wasserfall	Wasserfall	1944 Feb 29	-	1944 Feb 29	Earth	1944 Feb 29	S	-	WEHR	-	WEHR	-	-	    1700 	 	   1700 	 	    1700 	 	   7.8 	 	  0.9 	 	    7.8 	 	-	1944 Feb 29	   -6378	?	       0	?	  0.00 	 	ATM	U	-
L00025	NSO	1944-A04	1944-A04	R1          	Wasserfall	Wasserfall	1944 Mar  8	-	1944 Mar  8	Earth	1944 Mar  8	S	-	WEHR	-	WEHR	-	-	    1700 	 	   1700 	 	    1700 	 	   7.8 	 	  0.9 	 	    7.8 	 	-	1944 Mar  8	   -6378	?	       1	 	  0.00 	 	ATM	U	-
L00026	NSO	1944-A33	1944-A33	R1          	V-2	V-2	1944 Mar 17	-	1944 Mar 17	Earth	1944 Mar 17	S	-	-	-	WEHR	-	-	    4000 	 	      0 	 	       0 	 	  12.0 	 	  1.650	 	   12.0 	 	-	1944 Mar 17	   -6300	 	       1	 	  0.00 	 	ATM	U	-
L00027	NSO	1944-A05	1944-A05	R1          	V-2	A-4 payload	1944 May 26	-	1944 May 26	Earth	1944 May 26	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 May 26	   -6300	?	       1	?	  0.00 	 	ATM	U	-
L00028	NSO	1944-A06	1944-A06	R1          	V-2	A-4 payload	1944 Jun  1	-	1944 Jun  1	Earth	1944 Jun  1	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Jun  1	   -6300	?	       0	?	  0.00 	 	ATM	U	-
L00029	NSO	1944-M01	1944-M01	R1          	V-2	V89	1944 Jun 13	-	1944 Jun 13	Earth	1944 Jun 13	S	-	WEHR	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Jun 13	   -6300	?	      50	?	  0.00 	 	ATM	U	-
L00030	NSO	1944-A07	1944-A07	R1          	V-2	18298	1944 Aug 14	-	1944 Aug 14	Earth	1944 Aug 14	S	-	WER836-3	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Aug 14	   -6260	?	       0	?	  0.00 	 	ATM	U	-
L00031	NSO	1944-A08	1944-A08	R1          	V-2	18307	1944 Aug 14	-	1944 Aug 14	Earth	1944 Aug 14	S	-	WER444	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Aug 14	   -6260	?	      40	?	  0.00 	 	ATM	U	-
L00032	NSO	1944-A09	1944-A09	R1          	V-2	18302	1944 Aug 14	-	1944 Aug 14	Earth	1944 Aug 14	S	-	WER444	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Aug 14	   -6260	?	       1	?	  0.00 	 	ATM	U	-
L00033	NSO	1944-A10	1944-A10	R1          	V-2	18308	1944 Aug 14	-	1944 Aug 14	Earth	1944 Aug 14	S	-	WER485-2	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Aug 14	   -6260	?	       0	 	  0.00 	 	ATM	U	-
L00034	NSO	1944-A11	1944-A11	R1          	V-2	18300	1944 Aug 17	-	1944 Aug 17	Earth	1944 Aug 17	S	-	WER444	-	WEHR	-	-	    4000 	 	   4000 	 	    4000 	 	  12.0 	 	  1.6 	 	   12.0 	 	-	1944 Aug 17	   -6260	?	      10	?	  0.00 	 	ATM	U	-
