#JCAT	Satcat	Launch_Tag	Piece	Type	Name	PLName	LDate	Parent	SDate	Primary	DDate	Status	Dest	Owner	State	Manufacturer	Bus	Motor	Mass	MassFlag	DryMass	DryFlag	TotMass	TotFlag	Length	LFlag	Diameter	DFlag	Span	SpanFlag	Shape	ODate	Perigee	PF	Apogee	AF	Inc	IF	OpOrbit	OQUAL	AltNames
# Updated 2025 Aug  5 0444:30
A00014	00111	1958 THE	1958 THE	C AY        	Despin weight	-	1958 Dec  6	S00111	1958 Dec  6 1530	Earth	1958 Dec  7 1952	AR	-	JPL	US	JPL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    1.5 	 	Disk + Cable	1958 Dec  6	     -70	?	  102200	 	 28.50 	?	SO	-	-
A00015	00010	1958 ZET	1958 ZET	R1          	Atlas B 10B	Atlas B 10B	1958 Dec 18	-	1958 Dec 18 2306	Earth	1959 Jan 21	R	-	AFBMD	US	GDC	Atlas	-	    3920 	 	   3650 	 	       0 	 	   3.0 	 	 22.9 	 	   22.9 	 	Cyl	1958 Dec 30	     159	 	    1187	 	 32.29 	 	LEO/I	-	-
A00016	NNA	1959 MU	1959 MU	R3  D       	Vostok 8K72 No. 6 Stage 3	8K72E No. B1-6	1959 Jan  2	R02704	1959 Jan  2 1653	Earth	1959 Jan  3 0349?	DSO	D00001	NII88	SU	OKB1	Blok-E	-	    1472 	 	   1472 	 	    1472 	 	   5.0 	 	  2.7 	 	    5.0 	 	Cyl	1959 Jan  3	    -370	?	 -242160	?	 65.00 	 	EEO	-	-
A00017	00013	1959 BET	1959 BET	R2          	Agena A 1022	Agena A	1959 Feb 28	R02762	1959 Feb 28 2156	Earth	1959 Mar  5	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	?	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Feb 28	     163	?	     968	?	 89.70 	 	LLEO/P	-	-
A00018	NNA	1959 NU	1959 NU	R4  D       	Cluster 12 Assembly 4	RTV Motor	1959 Mar  3	R02770	1959 Mar  3 0515	Earth	1959 Mar  3 1654	DSO	D00004	ABMA	US	JPL	RTV Motor	-	       5 	 	      5 	 	       5 	 	   1.2 	 	  0.1 	 	    1.2 	 	Cyl	1959 Mar  3	     -45	 	 -393400	 	 29.00 	 	EEO	-	-
A00019	NNA	1959 NU	1959 NU	C  YD       	Despin weight	-	1959 Mar  3	S00113	1959 Mar  3 1632	Earth	1959 Mar  3 1654	DSO	D00005	JPL	US	JPL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    1.5 	 	Disk + Cable	1959 Mar  3	     -45	 	 -393400	 	 29.00 	 	EEO	-	-
A00020	NNA	1959 NU	1959 NU	C  YD       	Despin weight	-	1959 Mar  3	S00113	1959 Mar  3 1632	Earth	1959 Mar  3 1654	DSO	D00006	JPL	US	JPL	-	-	       0 	 	      0 	 	       0 	 	   0.0 	 	  0.0 	 	    1.5 	 	Disk + Cable	1959 Mar  3	     -45	 	 -393400	 	 29.00 	 	EEO	-	-
A00021	00014	1959 GAM	1959 GAM	R2          	Agena A 1018	Agena A	1959 Apr 13	R02842	1959 Apr 13 2126	Earth	1959 Apr 26	R	-	AFBMD	US	LMSD	Agena A	-	     590 	 	    590 	 	       0 	?	   4.0 	 	  1.5 	 	    4.0 	 	Cyl	1959 Apr 13	     239	 	     346	 	 89.90 	 	LLEO/P	-	-
A00022	NNA R	1959 GAM	1959 GAM	C  MR       	Star 10	Star 10	1959 Apr 13	A00023	1959 Apr 15 0004?	Earth	1959 Apr 15 0014?	D	-	ARPA/CIA	US	THKE	Star 10	-	      17 	 	      5 	 	       0 	 	   0.3 	 	  0.3 	 	    0.3 	 	Cyl + Cone	1959 Apr 14	    -235	?	     404	?	 89.90 	 	SO	-	-
A00023	NNA T	1959 GAM	1959 GAM	PX-RT--     	SRV	SRV	1959 Apr 13	S00014	1959 Apr 15 0004?	Earth	1959 Apr 15 0030?	L	Spitzbergen	ARPA/CIA	US	GEMSD	SRV Mk I	Star 10	      71 	 	     71 	 	       0 	 	   0.8 	 	  0.7 	 	    0.8 	 	Cone	1959 Apr 14	     239	 	     346	 	 89.90 	 	LLEO/P	-	-
