#JCAT	Piece	Name	Owner	State	World	Lon	Lat	LType	Status	LaunchDate	LandDate	OffDate	Dur	LSite	Comment
# Updated 2025 Aug  5 0444:49
D00128	1966-084A	Surveyor 2	JPL	US	Luna	  -11	    4	L	I	1966 Sep 20 1232:00	1966 Sep 23 0318	1966 Sep 22 0935	    0.000 	-	Propulsion failure, contact lost
D00129	1966-084	Star 37 S/N A21-27	JPL	US	Luna	  -11	    4	C	I	1966 Sep 20 1232:00	1966 Sep 23 0315?	1966 Sep 22 0935	    0.000 	-	Propulsion failure, contact lost
D00130	1966-084	Surveyor 2 Radar	JPL	US	Luna	  -11	    4	C	I	1966 Sep 20 1232:00	1966 Sep 23 0315?	1966 Sep 22 0935	    0.000 	-	Propulsion failure, contact lost
D00119	1966-073A	Lunar Orbiter I	LARCN	US	Luna	  162.0	    6.7	O	I	1966 Aug 10 1926:00	1966 Oct 29 1330	1966 Oct 29 1330	    0.000 	-	Deorbited at end of mission
D00140	1966-116A	Luna-13	IKI	SU	Luna	  -62.05	   18.87	C	I	1966 Dec 21 1017:08	1966 Dec 24 1801	1966 Dec 24 1801	    0.000 	-	Service module
D00141	1966-116	Otdelyaemiy otsek No. 1	OKB1	SU	Luna	  -62.05	   18.87	C	I	1966 Dec 21 1017:08	1966 Dec 24 1801?	1966 Dec 24 1801	    0.000 	-	Component
D00142	1966-116	Otdelyaemiy otsek No. 2	OKB1	SU	Luna	  -62.05	   18.87	C	I	1966 Dec 21 1017:08	1966 Dec 24 1801?	1966 Dec 24 1801	    0.000 	-	Component
D00143	1966-116A	Luna-13 ALS	OKB1	SU	Luna	  -62.05	   18.87	LA	L	1966 Dec 21 1017:08	1966 Dec 24 1801	1966 Dec 28 0613	    3.508 	-	Airbag lander
D00150	1967-035A	Surveyor 3	JPL	US	Luna	  -23.418	   -3.0163	L	L	1967 Apr 17 0705:01	1967 Apr 20 0004	1967 May  4 0004	   14.000 	Surveyor Base	Visited later by Apollo 12
D00151	1967-035	Surveyor 3 Radar	JPL	US	Luna	  -23.418	   -3.0163	C	I	1967 Apr 17 0705:01	1967 Apr 20 0002	1967 Apr 20 0002	    0.000 	-	Component
D00152	1967-035	Star 37 S/N A22-8	JPL	US	Luna	  -23.418	   -3.0163	C	I	1967 Apr 17 0705:01	1967 Apr 20 0003	1967 Apr 20 0002	    0.000 	-	Component
D00166	1967-068A	Surveyor 4	JPL	US	Luna	   -1.44	    0.47	L	I	1967 Jul 14 1153:29	1967 Jul 17 0203:25	1967 Jul 17 0202:40	    0.000 	-	Retro motor exploded
D00167	1967-068	Star 37 S/N A22-9	JPL	US	Luna	   -1.44	    0.47	C	I	1967 Jul 14 1153:29	1967 Jul 17 0203:25	1967 Jul 17 0202:40	    0.000 	-	Component
D00168	1967-068	Surveyor 4 Radar	JPL	US	Luna	   -1.44	    0.47	C	I	1967 Jul 14 1153:29	1967 Jul 17 0203:25	1967 Jul 17 0202:40	    0.000 	-	Component
D00180	1967-084A	Surveyor 5	JPL	US	Luna	   23.1944	    1.4550	L	L	1967 Sep  8 0757:01	1967 Sep 11 0046	1967 Dec 17 0430	   97.155 	-	Successful
D00177	1967-084	Surveyor 5 Radar	JPL	US	Luna	   23.1944	    1.4550	C	I	1967 Sep  8 0757:01	1967 Sep 11 0045	1967 Sep 11 0045	    0.000 	-	Component
D00178	1967-084	Star 37 S/N A21-28	JPL	US	Luna	   23.1944	    1.4550	C	I	1967 Sep  8 0757:01	1967 Sep 11 0045	1967 Sep 11 0045	    0.000 	-	Component
D00145	1967-008A	Lunar Orbiter 3	LARCN	US	Luna	  -92.70	   14.32	O	I	1967 Feb  5 0117:01	1967 Oct  9 1027:11	1967 Oct  9 1027:11	    0.000 	-	Deorbited at end of mission
D00138	1966-100A	Lunar Orbiter 2	LARCN	US	Luna	  119.13	    2.96	O	I	1966 Nov  6 2321:00	1967 Oct 11 0712	1967 Oct 11 0712	    0.000 	-	Deorbited at end of mission
D00161	1967-058A	Venera-4	IKI	SU	Venus	   38	   19	C	I	1967 Jun 12 0239:45	1967 Oct 18 0435	1967 Oct 18 0435	    0.000 	-	Service module
D00162	1967-058	Spuskaemiy apparat Veneri-4	IKI	SU	Venus	   38	   19	LP	I	1967 Jun 12 0239:45	1967 Oct 18 0614	1967 Oct 18 0614	    0.000 	-	Crushed during descent in atmosphere
D00155	1967-041A	Lunar Orbiter 4	LARCN	US	Luna	  -26	   -3	O	I	1967 May  4 2225:00	1967 Oct 31?	1967 Jul 17	    0.000 	-	Post-mission orbit decay
D00182	1967-112A	Surveyor 6	JPL	US	Luna	   -1.4275	    0.4743	L	L	1967 Nov  7 0739:01	1967 Nov 10 0101:04	1967 Dec 14 1914	   34.579 	-	Successful; made 3 m hop on Nov 17
D00183	1967-112	Star 37 S/N A21-29	JPL	US	Luna	   -1.4275	    0.4743	C	I	1967 Nov  7 0739:01	1967 Nov 10 0100	1967 Nov 10 0058	    0.000 	-	Component
