genus,image_url,summary
Gemmula,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Gemmula_gemmulina_001.jpg/250px-Gemmula_gemmulina_001.jpg,"Gemmula, common name the gem turrids, is a genus of sea snails, marine gastropod mollusks in the family Turridae, the turrids.
These snails have been recorded as fossils from the Paleocene to the Quaternary (from 66.043 to 0.012 Ma). Fossils have been found all over the world."
Cyclopecten,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Propeamussiidae_-_Propeamussium_eocenicum.JPG/250px-Propeamussiidae_-_Propeamussium_eocenicum.JPG,"Propeamussiidae, sometimes referred to as glass scallops mud scallops or mud pectens, are a taxonomic family of saltwater clams, marine bivalve molluscs in the order Pectinida. As members of the superfamily Pectinoidea, they are closely related to scallops.  Extant species are small in size, poorly known, and inhabit deep waters."
Drupa,https://upload.wikimedia.org/wikipedia/en/thumb/b/be/Drupa_logo.jpg/150px-Drupa_logo.jpg,"Drupal () is a free and open-source web content management system (CMS) written in PHP and distributed under the GNU General Public License. Drupal provides an open-source back-end framework for at least 14% of the top 10,000 websites worldwide and 1.2% of the top 10 million websites—ranging from personal blogs to corporate, political, and government sites.  Drupal can also be used for knowledge management and for business collaboration."
Muricodrupa,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Muricodrupa_fenestrata_001.jpg/250px-Muricodrupa_fenestrata_001.jpg,"Muricodrupa is a genus of sea snails, marine gastropod mollusks in the subfamily Ergalataxinae of the family Muricidae, the murex snails or rock snails.


== Species ==
Muricodrupa anaxares (Kiener, 1836) (previously Morula anaxares)
Muricodrupa fenestrata (Blainville, 1832)
According to the World Register of Marine Species (WoRMS) before 2019, the following species were included within the genus Muricodrupa :

Muricodrupa fiscellum (Gmelin, 1791), now Murichorda fiscellum (Gmelin, 1791)
Muricodrupa jacobsoni Emerson & D'Attilio, 1981, now Murichorda jacobsoni (Emerson & D'Attilio, 1981) (original combination)
The Indo-Pacific Molluscan Database (2006) also includes the following names in current use 

Muricodrupa fusca (Küster, 1868 in 1859-68): synonym of Semiricinula fusca (Küster, 1862)
Muricodrupa pothuanii (Souleyet in Eydoux & Souleyet, 1852)
Muricodrupa stellaris (Hombron & Jaquinot, 1854)


== Taxonomy ==
In 1918, Iredale noted that the shell then known as Ricinula (or Sistrum) cancellata Quoy and Gaimard 1833 was synonymous with the Purpura fenestrata of Blainville, 1832.  He asserted that the species was distinct from Drupa and Morula, creating a new monotypic genus Muricodrupa."
Periglypta,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Antigona_listeri_%28J._E._Gray%2C_1838%29_2013_001.JPG/250px-Antigona_listeri_%28J._E._Gray%2C_1838%29_2013_001.JPG,"Periglypta is a genus of bivalves in the subfamily Venerinae of the family Veneridae.


== Species ==
According to the World Register of Marine Species, this genus has eight extant species. There are nine fossil species listed in Fossilworks, five of which are not extant:

†Periglypta caesarina  (W.H. Dall, 1903)
†Periglypta caribbeana Anderson, 1927
Periglypta corbis (Lamarck, 1818)
Periglypta crispata (Deshayes, 1854)
Periglypta exclathrata (Sacco, 1900)
Periglypta listeri (J.E. Gray, 1838) – Princess Venus clam
Periglypta multicostata (G. B. Sowerby I, 1835)
Periglypta puerpera (Linnaeus, 1771)
Periglypta reticulata (Linnaeus, 1758)
†Periglypta tamiamensis A.A. Olsson & R.E. Petit, 1964
†Periglypta tarquinia  (W.H. Dall, 1900)
Periglypta valentichscotti Thach, 2021
†Periglypta weegeeree Darragh & Kendrick, 2010
In addition, Markus Huber (2010) mentioned that Periglypta and Antigona are synonyms, but Chen et al."
Clavus,,
Mikadotrochus,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Mikadotrochus_hirasei_01.jpg/250px-Mikadotrochus_hirasei_01.jpg,"Mikadotrochus is a genus of sea snails, marine gastropod mollusks in the family Pleurotomariidae, the slit snails.


== Species ==
Species within the genus Mikadotrochus include:

Mikadotrochus beyrichii (Hilgendorf, 1877)
Mikadotrochus gotoi (Anseeuw, 1990)
Mikadotrochus hirasei hirasei (Pilsbry, 1903)
Mikadotrochus hirasei yamamotoi (A. Yamamoto, 1993), Species inquirenda
Mikadotrochus mikadotrochus Pilsbry
Mikadotrochus salmianus (Rolle, 1887)
Mikadotrochus nantoensisLin，1975:
Species brought into synonymy

Mikadotrochus amabilis Bayer, 1963: synonym of Perotrochus amabilis (Bayer, 1963)
Mikadotrochus anseeuwi Kanazawa & Y. Goto, 1991: synonym of Perotrochus anseeuwi Kanazawa & Y. Goto, 1991
Mikadotrochus caledonicus (Bouchet & Métivier, 1982): synonym of Perotrochus caledonicus Bouchet & Métivier, 1982
Mikadotrochus deforgesi B. Métivier, 1990: synonym of Perotrochus deforgesi Métivier, 1990
Mikadotrochus oishii T. Shikama, 1973: synonym of Perotrochus oishii (Shikama, 1973)
Mikadotrochus schmalzi T. Shikama, 1961: synonym of Mikadotrochus salmianus (Rolle, 1899)


== References ==


== Further reading ==

Lindholm, W. A. (1927). On Pleurotomaria beyrichi Hilgendorf (Gastropoda) in the collection of Zoological Museum of the Academy of Science, with a note about the genus Pleurotomaria s."
Leporicypraea,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Cypraea_mappa.jpg/250px-Cypraea_mappa.jpg,"Leporicypraea is a genus of sea snails, marine gastropod mollusks in the family Cypraeidae, the cowries.
Species within this genus are commonly found in the Indo-Pacific region.


== Species ==
Species of Leporicypraea include:

Leporicypraea geographica (Schilder & Schilder, 1933)
Leporicypraea mappa (Linnaeus, 1758)
Leporicypraea rosea (Gray, 1824)
Leporicypraea valentia (Perry, 1811)
Nomen dubium

Leporicypraea alga (Perry, 1811)


== References ==


== External links ==

Iredale, T. (1930)."
Contradusta,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cypraea_bregeriana.jpg/250px-Cypraea_bregeriana.jpg,"Contradusta is a genus of sea snails, marine gastropod mollusks in the family Cypraeidae, the cowries.


== Species ==
Species within the genus Contradusta  include:

Contradusta bregeriana (Crosse, 1868)
Contradusta lapillus Poppe, Tagaro & Groh, 2013
Contradusta walkeri (Sowerby I, 1832)
Species brought into synonymy

Contradusta barclayi (Reeve, 1857): synonym of Paradusta barclayi (Reeve, 1857)
Contradusta pulchella (Swainson, 1823): synonym of Ficadusta pulchella (Swainson, 1823)


== References ==

Meyer C. 2003. Molecular systematics of cowries (Gastropoda: Cypraeidae) and diversification patterns in the tropics."
Hortia,,
